咪咕频道,#genre#
杭州综合咪咕,http://rihou.cc:567/dd.php?id=hzzh$涛哥直播•IPV4
杭州明珠咪咕,http://rihou.cc:567/dd.php?id=hzmz$涛哥直播•IPV4
杭州生活咪咕,http://rihou.cc:567/dd.php?id=hzsh$涛哥直播•IPV4
杭州影视咪咕,http://rihou.cc:567/dd.php?id=hzys$涛哥直播•IPV4
杭州少体咪咕,http://rihou.cc:567/dd.php?id=hzse$涛哥直播•IPV4
嵊泗综合咪咕,http://rihou.cc:567/dd.php?id=ssxwzh$涛哥直播•IPV4
普陀电视咪咕,http://rihou.cc:567/dd.php?id=ptxwzh$涛哥直播•IPV4
高清大片咪咕,http://rihou.cc:567/dd.php?id=gqdp$涛哥直播•IPV4
经典电影咪咕,http://rihou.cc:567/dd.php?id=jdxgdy$涛哥直播•IPV4
军事大片咪咕,http://rihou.cc:567/dd.php?id=jsdp$涛哥直播•IPV4
热剧联播咪咕,http://rihou.cc:567/dd.php?id=rjlb$涛哥直播•IPV4
赛事经典咪咕,http://rihou.cc:567/dd.php?id=sszjd$涛哥直播•IPV4
体坛名汇咪咕,http://rihou.cc:567/dd.php?id=ttmlh$涛哥直播•IPV4
新片映厅咪咕,http://rihou.cc:567/dd.php?id=xpfyt$涛哥直播•IPV4
Y+剧场台咪咕,http://rihou.cc:567/dd.php?id=yjjc$涛哥直播•IPV4
CCTV-01_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265001$涛哥直播•IPV4
CCTV-02_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000023315$涛哥直播•IPV4
CCTV-03_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265003$涛哥直播•IPV4
CCTV-04_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265004$涛哥直播•IPV4
CCTV-05_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265005$涛哥直播•IPV4
CCTV-5+_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265016$涛哥直播•IPV4
CCTV-06_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265006$涛哥直播•IPV4
CCTV-07_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265007$涛哥直播•IPV4
CCTV-08_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265008$涛哥直播•IPV4
CCTV-09_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265009$涛哥直播•IPV4
CCTV-10_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265010$涛哥直播•IPV4
CCTV-11_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265011$涛哥直播•IPV4
CCTV-12_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265012$涛哥直播•IPV4
CCTV-13_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031108$涛哥直播•IPV4
CCTV-14_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265013$涛哥直播•IPV4
CCTV-15_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265014$涛哥直播•IPV4
CCTV-16_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000233002$涛哥直播•IPV4
CCTV-17_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265015$涛哥直播•IPV4
北京卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265027$涛哥直播•IPV4
东方卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265018$涛哥直播•IPV4
江苏卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265030$涛哥直播•IPV4
浙江卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265031$涛哥直播•IPV4
湖南卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265024$涛哥直播•IPV4
广东卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265034$涛哥直播•IPV4
深圳卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265028$涛哥直播•IPV4
天津卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265026$涛哥直播•IPV4
安徽卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265025$涛哥直播•IPV4
东南卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265033$涛哥直播•IPV4
河北卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000006000040016$涛哥直播•IPV4
河南卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031119$涛哥直播•IPV4
湖北卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265023$涛哥直播•IPV4
广西卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031118$涛哥直播•IPV4
四川卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000004000006119$涛哥直播•IPV4
重庆卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265017$涛哥直播•IPV4
贵州卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000004000025843$涛哥直播•IPV4
海南卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000004000006211$涛哥直播•IPV4
山东卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265019$涛哥直播•IPV4
江西卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265032$涛哥直播•IPV4
辽宁卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265022$涛哥直播•IPV4
青海卫视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000002000013359$涛哥直播•IPV4
云南卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031120$涛哥直播•IPV4
甘肃卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031121$涛哥直播•IPV4
吉林卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031117$涛哥直播•IPV4
黑龙江视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265029$涛哥直播•IPV4
华数__4K_ITV,http://www.72444165.xyz:5005/itv/wasusyt/6000000003000004748$涛哥直播•IPV4
纯享__4K_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000011651$涛哥直播•IPV4
黑莓电影_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000019624$涛哥直播•IPV4
黑莓动画_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000021734$涛哥直播•IPV4
哒啵电竞_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000032327$涛哥直播•IPV4
哒啵赛事_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000003775$涛哥直播•IPV4
精品综合_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000019008$涛哥直播•IPV4
精品大剧_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000013968$涛哥直播•IPV4
精品纪录_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000013730$涛哥直播•IPV4
精品体育_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000014634$涛哥直播•IPV4
精品萌宠_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000032328$涛哥直播•IPV4
爱情喜剧_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000010$涛哥直播•IPV4
超级电视_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000268003$涛哥直播•IPV4
超级电影_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000003000012426$涛哥直播•IPV4
超级体育_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000009601$涛哥直播•IPV4
超级综艺_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000268002$涛哥直播•IPV4
潮妈辣婆_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000018$涛哥直播•IPV4
东北热剧_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000266013$涛哥直播•IPV4
动作电影_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000018653$涛哥直播•IPV4
古装剧场_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000024$涛哥直播•IPV4
欢乐剧场_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000266012$涛哥直播•IPV4
家庭剧场_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000008284$涛哥直播•IPV4
金牌综艺_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000026167$涛哥直播•IPV4
惊悚悬疑_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000024282$涛哥直播•IPV4
军旅剧场_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000014$涛哥直播•IPV4
军事评论_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000022$涛哥直播•IPV4
魅力潇湘_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000006197$涛哥直播•IPV4
明星大片_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000016$涛哥直播•IPV4
农业致富_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000003$涛哥直播•IPV4
武博世界_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000007$涛哥直播•IPV4
炫舞未来_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000000515$涛哥直播•IPV4
怡伴健康_ITV,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000266011$涛哥直播•IPV4
中国功夫_ITV,http://www.72444165.xyz:5005/itv/hnbblive/2000000003000000009$涛哥直播•IPV4
iH爱体育_ITV,http://www.72444165.xyz:5005/itv/wasusyt/6000000006000290630$涛哥直播•IPV4
劲爆体育_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000002000029972$涛哥直播•IPV4
魅力足球_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031207$涛哥直播•IPV4



